Annee;PASS;SR_agirc_arrco;SR_AGIRC;SR_ircantec;VP_agirc_arrco;VP_AGIRC;VP_ircantec;VP_rci;VP_cnavpl;VP_carmf_rc;VP_carmf_asv;VP_carcdsf_rc;VP_carcdsf_pcv
1963;1592;0.700346;0.3034;0.250016388;0;0.040017867;0;0;0;0;0;0;0
1964;1738;0.743626;0.3308;0.26526129;0;0.04344797;0;0;0;0;0;0;0
1965;1866;0.782971;0.3476;0.277457211;0;0.046878073;0;0;0;0;0;0;0
1966;1976;0.83412;0.3674;0.288128643;0;0.049164808;0;0;0;0;0;0;0
1967;2086;0.869531;0.3887;0.300324564;0;0.050689298;0;0;0;0;0;0;0
1968;2195;0.96396;0.4223;0.344534779;0;0.053738279;0;0;0;0;0;0;0
1969;2488;1.054454;0.4573;0.368926622;0;0.059988688;0;0;0;0;0;0;0
1970;2744;1.144948;0.497;0.394842955;0;0.064028587;0;0;0;0;0;0;0
1971;3018;1.266918;0.5412;0.420759288;0;0.071651038;0;0;0;0;0;0;0
1972;3348;1.408562;0.5915;0.454298071;0;0.078892366;0;0;0;0;0;0;0
1973;3732;1.597419;0.6479;0.495459306;0;0.08842043;0;0;0;0;0;0;0
1974;4244;1.833491;0.7333;0.565585854;0;0.098710739;0;0;0;0;0;0;0
1975;5031;2.057759;0.8446;0.641810363;0;0.112507375;0;0;0;0;0;0;0
1976;5781;2.368587;0.933;0.740902224;0;0.126532684;0;0;0;0;0;0;0
1977;6604;2.624331;1.0275;0.824749183;0;0.132173298;0;0;0;0;0;0;0
1978;7318;2.943028;1.1312;0.902498182;0;0.136746768;0;0;0;0;0;0;0
1979;8177;3.308939;1.2638;1.004639024;0;0.141960525;0;0;0;0;0;0;0
1980;9165;3.785017;1.4361;1.132696198;0;0.148820731;0;0;0;0;0;0;0
1981;10482;4.261095;1.616;1.275998274;0;0.155497998;0;0;0;0;0;0;0
1982;12504;4.811929;1.7958;1.469608526;0;0.220898626;0;0;0;0;0;0;0
1983;13977;5.295877;1.9925;1.623582034;0;0.246205163;0;0;0;0;0;0;0
1984;15184;5.649984;2.116;1.737918797;0;0.263431902;0;0;0;0;0;0;0
1985;16272;6.074913;2.2593;1.824814736;0;0.268767617;0;0;0;0;0;0;0
1986;17105;6.36213;2.3782;1.885794343;0;0.276618742;0;0;0;0;0;0;0
1987;17809;6.63362;2.4422;1.904088225;0;0.282488029;0;0;0;0;0;0;0
1988;18349;6.9169;2.5429;1.940675989;0;0.300781911;0;0;0;0;0;0;0
1989;19099;7.24347;2.6541;2.003180086;0;0.309776403;0;0;0;0;0;0;0
1990;19977;7.59758;2.7761;2.062635203;0;0.319075793;0;0;0;0;0;0;0
